user_no,latitude,longitude,record_time
1,37.23654639883438,126.6646061966976,2025-09-21 00:00:00
1,37.23649717705687,126.6646086942547,2025-09-21 00:03:00
1,37.23652971984125,126.66461184431404,2025-09-21 00:06:00
1,37.23654089588062,126.66462283887812,2025-09-21 00:09:00
1,37.23652484698214,126.6646349200483,2025-09-21 00:12:00
1,37.23650934229765,126.66459197400322,2025-09-21 00:15:00
1,37.23653019636858,126.66457177692736,2025-09-21 00:18:00
1,37.23655282996689,126.66459516323673,2025-09-21 00:21:00
1,37.23653406004674,126.66459529697296,2025-09-21 00:24:00
1,37.23655995848046,126.66458338396056,2025-09-21 00:27:00
1,37.23648184820096,126.66457429527765,2025-09-21 00:30:00
1,37.23649842207175,126.66460565260176,2025-09-21 00:33:00
1,37.236538998407234,126.6645812214096,2025-09-21 00:36:00
1,37.2364920587552,126.66459817631976,2025-09-21 00:39:00
1,37.236561084180416,126.66455793751848,2025-09-21 00:42:00
1,37.23653200894435,126.66462632973068,2025-09-21 00:45:00
1,37.23653496061773,126.66463435580256,2025-09-21 00:48:00
1,37.2365224595361,126.6646102460328,2025-09-21 00:51:00
1,37.236559250653066,126.66459951349016,2025-09-21 00:54:00
1,37.23652730846775,126.66458233021456,2025-09-21 00:57:00
1,37.236549249525,126.6646000607466,2025-09-21 01:00:00
1,37.23653266530935,126.66460785543482,2025-09-21 01:03:00
1,37.23652896188217,126.66463884207592,2025-09-21 01:06:00
1,37.23653875768971,126.66456340699834,2025-09-21 01:09:00
1,37.23655757735828,126.66462157241456,2025-09-21 01:12:00
1,37.2365145148191,126.6646381973986,2025-09-21 01:15:00
1,37.2365327048473,126.66457741089712,2025-09-21 01:18:00
1,37.23650994644237,126.664576353086,2025-09-21 01:21:00
1,37.23652106823889,126.6646331868336,2025-09-21 01:24:00
1,37.2365297101914,126.6645923897374,2025-09-21 01:27:00
1,37.23651808404918,126.66463267293682,2025-09-21 01:30:00
1,37.23656060537047,126.6645999817522,2025-09-21 01:33:00
1,37.23653483986886,126.66459585944467,2025-09-21 01:36:00
1,37.23653349458928,126.66463749419,2025-09-21 01:39:00
1,37.23653619536661,126.66460909726544,2025-09-21 01:42:00
1,37.23653575428519,126.66457831444286,2025-09-21 01:45:00
1,37.23653718196871,126.664589749254,2025-09-21 01:48:00
1,37.23654638105393,126.66457224918486,2025-09-21 01:51:00
1,37.23651313328696,126.66459792964947,2025-09-21 01:54:00
1,37.23653631226223,126.66460646975958,2025-09-21 01:57:00
1,37.23649666142608,126.6645977776235,2025-09-21 02:00:00
1,37.2365316055166,126.6646073466557,2025-09-21 02:03:00
1,37.23655808160695,126.66462939292045,2025-09-21 02:06:00
1,37.23653511182603,126.66454569866586,2025-09-21 02:09:00
1,37.23652727490096,126.66458422540444,2025-09-21 02:12:00
1,37.23652849503374,126.66460545656804,2025-09-21 02:15:00
1,37.236553420871616,126.66458832976969,2025-09-21 02:18:00
1,37.2365523433966,126.6645442556354,2025-09-21 02:21:00
1,37.23651072195478,126.66460332843198,2025-09-21 02:24:00
1,37.23650505242328,126.66459153117118,2025-09-21 02:27:00
1,37.23654792931402,126.66459698903954,2025-09-21 02:30:00
1,37.23652697615716,126.66456442824582,2025-09-21 02:33:00
1,37.236561621194745,126.66462888531326,2025-09-21 02:36:00
1,37.23653488426662,126.66457516988608,2025-09-21 02:39:00
1,37.23653064361174,126.6645805467588,2025-09-21 02:42:00
1,37.23655612647206,126.66460360449356,2025-09-21 02:45:00
1,37.23653353890787,126.6646275765411,2025-09-21 02:48:00
1,37.236554090697375,126.6646248155032,2025-09-21 02:51:00
1,37.236485086633294,126.6645605057472,2025-09-21 02:54:00
1,37.23652657655043,126.66458935799008,2025-09-21 02:57:00
1,37.23652395526586,126.66457373555453,2025-09-21 03:00:00
1,37.23651419218363,126.66462766365672,2025-09-21 03:03:00
1,37.23654221294732,126.66460835705516,2025-09-21 03:06:00
1,37.23655100547372,126.66459514498736,2025-09-21 03:09:00
1,37.23654723457288,126.66460305558496,2025-09-21 03:12:00
1,37.23652934839487,126.66461018407831,2025-09-21 03:15:00
1,37.23652138721318,126.66461773106494,2025-09-21 03:18:00
1,37.23653600121059,126.6646078313076,2025-09-21 03:21:00
1,37.23653244446231,126.66456222102256,2025-09-21 03:24:00
1,37.23653670351855,126.6645908524389,2025-09-21 03:27:00
1,37.23653966472072,126.6646467683969,2025-09-21 03:30:00
1,37.2365433205072,126.6646198108346,2025-09-21 03:33:00
1,37.23655313082602,126.66462072348314,2025-09-21 03:36:00
1,37.23655875277238,126.66462373082204,2025-09-21 03:39:00
1,37.23652085839353,126.66460701441002,2025-09-21 03:42:00
1,37.23650527335107,126.66459734286094,2025-09-21 03:45:00
1,37.2365204515753,126.66460409444969,2025-09-21 03:48:00
1,37.2365541144468,126.66462364333977,2025-09-21 03:51:00
1,37.23651313265216,126.6646061958672,2025-09-21 03:54:00
1,37.236522401307134,126.66464655777668,2025-09-21 03:57:00
1,37.2365197369102,126.66459486844371,2025-09-21 04:00:00
1,37.23652108056592,126.66460688272672,2025-09-21 04:03:00
1,37.23652409839482,126.66458366505104,2025-09-21 04:06:00
1,37.23653709364643,126.6645880907442,2025-09-21 04:09:00
1,37.23655345048262,126.66456285328388,2025-09-21 04:12:00
1,37.23656639604864,126.66463810876375,2025-09-21 04:15:00
1,37.23650718161587,126.66461265365407,2025-09-21 04:18:00
1,37.23652217086776,126.66460769007438,2025-09-21 04:21:00
1,37.23655399598076,126.6646192995166,2025-09-21 04:24:00
1,37.23657745250403,126.66457617523638,2025-09-21 04:27:00
1,37.23652969973848,126.6645907500994,2025-09-21 04:30:00
1,37.236521470499895,126.66460832686816,2025-09-21 04:33:00
1,37.23653751349242,126.66455190092346,2025-09-21 04:36:00
1,37.23651796820236,126.6645661346388,2025-09-21 04:39:00
1,37.23652958996848,126.66461452260434,2025-09-21 04:42:00
1,37.23655573924837,126.6646331261028,2025-09-21 04:45:00
1,37.23652017847439,126.66462658794396,2025-09-21 04:48:00
1,37.23650002137052,126.66460311582954,2025-09-21 04:51:00
1,37.236561115350376,126.66460377057844,2025-09-21 04:54:00
1,37.236525262735576,126.66461015854058,2025-09-21 04:57:00
1,37.23656099885836,126.66458328742578,2025-09-21 05:00:00
1,37.23652223164689,126.66457684609703,2025-09-21 05:03:00
1,37.23654573455767,126.66460295201556,2025-09-21 05:06:00
1,37.23652739281801,126.66459269576887,2025-09-21 05:09:00
1,37.23653863207854,126.66459912579997,2025-09-21 05:12:00
1,37.236534629073496,126.6646091930882,2025-09-21 05:15:00
1,37.23654034293171,126.66459939237566,2025-09-21 05:18:00
1,37.23652731741113,126.66460272318432,2025-09-21 05:21:00
